Untitled spreadsheet - Sheet1
Agency,Description,Uploaded on,Saved
DEPARTMENT OF EDUCATION,THE INTERNATIONAL ASSOCIATI...,2/11/2025,$0.00
DEPARTMENT OF EDUCATION,THE PURPOSE OF THIS PROCURE...,2/11/2025,"$358,849.00"
DEPARTMENT OF EDUCATION,TOAST TASK ORDER 0002,2/11/2025,$0.00
DEPARTMENT OF EDUCATION,THE PURPOSE OF THIS PROCURE...,2/11/2025,"$537,306.00"
DEPARTMENT OF EDUCATION,NCSER CROWDSOURCING CAMPAIG...,2/11/2025,"$531,073.00"
DEPARTMENT OF EDUCATION,EVALUATING PROGRAMS AND STR...,2/11/2025,$0.00
DEPARTMENT OF EDUCATION,OCLC RENEWAL FOR JULY 2024 ...,2/11/2025,$0.00
DEPARTMENT OF EDUCATION,PRESTO TASTE AWARD,2/11/2025,$0.00
DEPARTMENT OF EDUCATION,AWARD OF ARISE TASK ORDER 4,2/11/2025,$0.00
DEPARTMENT OF EDUCATION,TOAST TASK ORDER 0003,2/11/2025,$0.00
DEPARTMENT OF EDUCATION,IMPACT STUDY OF STRATEGIES ...,2/11/2025,$0.00
DEPARTMENT OF EDUCATION,SATISFACTORY ACADEMIC PROGR...,2/11/2025,$0.00
DEPARTMENT OF EDUCATION,STAKEHOLDER'S MEETING TASK ...,2/11/2025,$0.00
DEPARTMENT OF EDUCATION,TASK ORDER AWARD FOR STAKEH...,2/11/2025,$0.00
DEPARTMENT OF EDUCATION,TASK ORDER FOR CAREER PATHW...,2/11/2025,$0.00
DEPARTMENT OF EDUCATION,SEE FPDS,2/11/2025,SEE FPDS
DEPARTMENT OF EDUCATION,IGF::OT::IGF THE PURPOSE OF...,2/11/2025,SEE FPDS
DEPARTMENT OF EDUCATION,"DIVERSITY, EQUITY, AND INCL...",1/23/2025,"$103,293.00"
DEPARTMENT OF EDUCATION,DIVERSITY TRAINING SERVICES.,1/23/2025,"$174,327.00"
DEPARTMENT OF EDUCATION,DIVERSITY CHANGE AGENT PROG...,1/29/2025,"$1,784,897.00"
DEPARTMENT OF EDUCATION,THE PRIMARY PURPOSE OF THIS...,2/11/2025,"$5,177,876.00"
DEPARTMENT OF ENERGY,***** THE PURPOSE OF THIS...,2/6/2025,"$121,230.00"
DEPARTMENT OF ENERGY,ONE-YEAR SUBSCRIPTION TO EN...,2/7/2025,$0.00
DEPARTMENT OF ENERGY,ONLINE E&E PUBLISHING SUBSC...,2/7/2025,"$22,932.00"
DEPARTMENT OF ENERGY,12-MONTH ENERGYWIRE E&E SUB...,2/10/2025,$0.00
DEPARTMENT OF ENERGY,2024-2025 POLITICO PRO PLUS...,2/10/2025,$0.00
DEPARTMENT OF ENERGY,BUSINESS ADMINISTRATION SUP...,1/21/2025,"$98,842.00"
DEPARTMENT OF ENERGY,ENVIRONMENTAL JUSTICE AND E...,1/29/2025,$0.00
DEPARTMENT OF ENERGY,POLITICO PRO SUBSCRIPTION,2/5/2025,$0.00
DEPARTMENT OF ENERGY,SUBSCRIPTION TO E&E NEWS EN...,2/11/2025,$0.00
DEPARTMENT OF ENERGY,SUBSCRIPTION TO E&E NEWS EN...,2/11/2025,$0.00
DEPARTMENT OF HEALTH AND HUMAN SERVICES,"RFC FOR DIVERSITY, EQUITY A...",1/23/2025,"$780,000.00"
DEPARTMENT OF HEALTH AND HUMAN SERVICES,"DIVERSITY, EQUITY, AND INCL...",1/23/2025,"$1,107,841.00"
DEPARTMENT OF HEALTH AND HUMAN SERVICES,"DIVERSITY, EQUITY AND ACCES...",1/22/2025,"$675,733.00"
DEPARTMENT OF HEALTH AND HUMAN SERVICES,STRATEGIC PLANNING SUPPORT ...,1/23/2025,$0.00
DEPARTMENT OF HEALTH AND HUMAN SERVICES,ADVANCING HEALTH EQUITY THR...,1/28/2025,"$1,272,078.00"
DEPARTMENT OF HEALTH AND HUMAN SERVICES,THE PURPOSE OF THIS CONTRAC...,1/28/2025,$0.00
DEPARTMENT OF HEALTH AND HUMAN SERVICES,THE CONTRACTOR SHALL PROVID...,1/27/2025,$0.00
DEPARTMENT OF HEALTH AND HUMAN SERVICES,DEVELOPMENT OF THE NCCIH DE...,1/27/2025,$0.00
DEPARTMENT OF HEALTH AND HUMAN SERVICES,ASSIST THE ADMINISTRATION F...,1/27/2025,"$170,033.00"
DEPARTMENT OF HEALTH AND HUMAN SERVICES,THE PURPOSE OF THIS CONTRAC...,1/29/2025,"$2,670,813.00"
DEPARTMENT OF HEALTH AND HUMAN SERVICES,BASE AWARD- ORGANIZATIONAL ...,1/29/2025,"$3,480,151.00"
DEPARTMENT OF HEALTH AND HUMAN SERVICES,(OCE) DEIA WORKSHOPS TRAINING,1/29/2025,$0.00
DEPARTMENT OF HEALTH AND HUMAN SERVICES,THIS IS A TIME AND MATERIAL...,1/30/2025,"$16,562,810.00"
DEPARTMENT OF HEALTH AND HUMAN SERVICES,THE PURPOSE OF THIS PROJECT...,2/3/2025,$0.00
DEPARTMENT OF HEALTH AND HUMAN SERVICES,POLITICO PRO PLUS SUBSCRIPTION,2/6/2025,"$225,750.00"
DEPARTMENT OF HEALTH AND HUMAN SERVICES,POLITICO PRO SUBSCRIPTION,2/6/2025,"$632,000.00"
DEPARTMENT OF HEALTH AND HUMAN SERVICES,FDA POLITICO FOR OC,2/6/2025,$0.00
DEPARTMENT OF HEALTH AND HUMAN SERVICES,POLITICO SUBSCRIPTION,2/6/2025,$0.00
DEPARTMENT OF HEALTH AND HUMAN SERVICES,AGENCYIQ SUBSCRIPTION,2/6/2025,"$82,300.00"
DEPARTMENT OF HEALTH AND HUMAN SERVICES,ONLINE POLITICAL NEWS AND S...,2/6/2025,$0.00
DEPARTMENT OF HEALTH AND HUMAN SERVICES,POLITICO PRO SUBSCRIPTION F...,2/6/2025,"$98,304.00"
DEPARTMENT OF HEALTH AND HUMAN SERVICES,POLITICO PRO SUBSCRIPTION,2/6/2025,"$56,450.00"
DEPARTMENT OF HEALTH AND HUMAN SERVICES,OCIO BUSINESS SUCCESSION PL...,2/7/2025,"$530,198.00"
DEPARTMENT OF HEALTH AND HUMAN SERVICES,IDIQ - MICROBIOLOGY OF FDA ...,2/7/2025,$0.00
DEPARTMENT OF HEALTH AND HUMAN SERVICES,CDRH OM DWM HIRING MANAGER,2/7/2025,$0.00
DEPARTMENT OF HEALTH AND HUMAN SERVICES,OEA EXECUTIVE COACHING,2/7/2025,"$458,880.00"
DEPARTMENT OF HEALTH AND HUMAN SERVICES,MEDIA TRAINING SERVICES FDA...,2/7/2025,"$202,196.00"
DEPARTMENT OF HEALTH AND HUMAN SERVICES,NEW TASK ORDER UNDER FDA-WI...,2/7/2025,"$679,353.00"
DEPARTMENT OF HEALTH AND HUMAN SERVICES,SERVICES TO PROVIDE EXECUTI...,2/7/2025,"$234,047.00"
DEPARTMENT OF HEALTH AND HUMAN SERVICES,DOCXONOMY SOFTWARE WITH MAI...,2/7/2025,"$563,545.00"
DEPARTMENT OF HEALTH AND HUMAN SERVICES,"1-YEAR, FIRM-FIXED-PRICE (F...",2/7/2025,$0.00
DEPARTMENT OF HEALTH AND HUMAN SERVICES,OL55-C-5315. PURCHASE HRSA...,2/7/2025,"$343,690.00"
DEPARTMENT OF HEALTH AND HUMAN SERVICES,CALL ORDER 5,2/7/2025,$0.00
DEPARTMENT OF HEALTH AND HUMAN SERVICES,OC137 C 6002 SATELLITE AND ...,2/7/2025,$0.00
DEPARTMENT OF HEALTH AND HUMAN SERVICES,ANNUAL SUBSCRIPTION,2/7/2025,"$261,715.00"
DEPARTMENT OF HEALTH AND HUMAN SERVICES,APPLICA SOLUTIONS INC: SPAC...,2/7/2025,$0.00
DEPARTMENT OF HEALTH AND HUMAN SERVICES,PANAMERICA COMPUTERS INC:11...,2/7/2025,$0.00
DEPARTMENT OF HEALTH AND HUMAN SERVICES,FAUCI EXHIBIT THIS PRICE IN...,2/7/2025,$0.00
DEPARTMENT OF HEALTH AND HUMAN SERVICES,BRIGHT CLUSTER MANAGEMENT S...,2/7/2025,$0.00
DEPARTMENT OF HEALTH AND HUMAN SERVICES,MISCELLANEOUS BULK GASES IN...,2/7/2025,$0.00
DEPARTMENT OF HEALTH AND HUMAN SERVICES,BANNER STAFFING LLC:1159549...,2/7/2025,$0.00
DEPARTMENT OF HEALTH AND HUMAN SERVICES,MID-ATLANTIC SERVICES GROUP...,2/7/2025,$0.00
DEPARTMENT OF HEALTH AND HUMAN SERVICES,EEO TREND AND BARRIER ANALYSIS,2/7/2025,$0.00
DEPARTMENT OF HEALTH AND HUMAN SERVICES,STERLING COMPUTERS:1110316 ...,2/7/2025,$0.00
DEPARTMENT OF HEALTH AND HUMAN SERVICES,TO PROVIDE CONSULTATION SER...,2/7/2025,"$610,536.00"
DEPARTMENT OF HEALTH AND HUMAN SERVICES,HUMAN CAPITAL ENTERPRISE DI...,2/7/2025,$0.00
DEPARTMENT OF HEALTH AND HUMAN SERVICES,HEALTH OUTREACH AND RESEARC...,2/7/2025,$0.00
DEPARTMENT OF HEALTH AND HUMAN SERVICES,PROCUREMENT OF SERVICES TO ...,2/7/2025,$0.00
DEPARTMENT OF HEALTH AND HUMAN SERVICES,GRANTS MANAGEMENT COMPLIANCE,2/10/2025,$0.00
DEPARTMENT OF HEALTH AND HUMAN SERVICES,FIVE (5) INTERNS,2/10/2025,$0.00
DEPARTMENT OF HEALTH AND HUMAN SERVICES,EQUAL EMPLOYMENT OPPORTUNIT...,2/10/2025,"$732,797.00"
DEPARTMENT OF HEALTH AND HUMAN SERVICES,ADVANCING CONTEXTUAL ANALYS...,2/10/2025,"$87,902.00"
DEPARTMENT OF HEALTH AND HUMAN SERVICES,PDUFA VII CLOUD ASSESSMENT,2/10/2025,$0.00
DEPARTMENT OF HEALTH AND HUMAN SERVICES,DHC/DPS/DMPA AND CENTER OPE...,2/10/2025,"$7,890,073.00"
DEPARTMENT OF HEALTH AND HUMAN SERVICES,ADVANCE LEADERSHIP & CULTUR...,2/10/2025,$0.00
DEPARTMENT OF HEALTH AND HUMAN SERVICES,PROCUREMENT OF BRAND NAME H...,2/10/2025,"$18,998.00"
DEPARTMENT OF HEALTH AND HUMAN SERVICES,ZEROFOX SOCIAL MEDIA BRAND ...,2/13/2025,"$627,371.00"
DEPARTMENT OF HEALTH AND HUMAN SERVICES,EQUITY ASSESSMENT OF EXISTI...,2/13/2025,$0.00
DEPARTMENT OF HEALTH AND HUMAN SERVICES,DEIA TRAINING TASK ORDER,1/22/2025,$0.00
DEPARTMENT OF HEALTH AND HUMAN SERVICES,OHIC EQUITY STRATEGIC PROGR...,1/29/2025,"$750,000.00"
DEPARTMENT OF HEALTH AND HUMAN SERVICES,NIH CLIMATE SURVEY SUPPORT ...,2/3/2025,"$1,122,845.00"
DEPARTMENT OF HEALTH AND HUMAN SERVICES,THE PURPOSE OF THIS CONTRAC...,2/6/2025,"$355,801.00"
DEPARTMENT OF HEALTH AND HUMAN SERVICES,PRO PLUS SUBSCRIPTION FOR ACL,2/7/2025,"$105,560.00"
DEPARTMENT OF HEALTH AND HUMAN SERVICES,POLITICO PRO 15 USER LICENS...,2/7/2025,"$57,653.00"
DEPARTMENT OF HEALTH AND HUMAN SERVICES,CDC LIBRARY POLITICO SUBSC...,2/7/2025,"$590,780.00"
DEPARTMENT OF HEALTH AND HUMAN SERVICES,POLITICO PRO SUBSCRIPTION,2/7/2025,"$176,330.00"
DEPARTMENT OF HEALTH AND HUMAN SERVICES,"DIVERSITY, EQUITY, BELONGIN...",2/7/2025,$0.00
DEPARTMENT OF HEALTH AND HUMAN SERVICES,ADMINISTRATIVE SUPPORT SERV...,2/7/2025,"$360,562.00"
DEPARTMENT OF HEALTH AND HUMAN SERVICES,CONSTRUCTION IDIQ,2/7/2025,$0.00
DEPARTMENT OF HEALTH AND HUMAN SERVICES,APP PROGRAMMER SERVICES,2/7/2025,"$238,365.00"
DEPARTMENT OF HEALTH AND HUMAN SERVICES,LEADERSHIP CONSULTING SERVICES,2/7/2025,"$46,367.00"
DEPARTMENT OF HEALTH AND HUMAN SERVICES,POLITICO PRO SUBSCRIPTION,2/7/2025,"$56,400.00"
DEPARTMENT OF HEALTH AND HUMAN SERVICES,PRO PREMIUM SUBSCRIPTION,2/7/2025,$0.00
DEPARTMENT OF HEALTH AND HUMAN SERVICES,POLITICO SUBSCRIPTION RENEWAL,2/7/2025,$0.00
DEPARTMENT OF HEALTH AND HUMAN SERVICES,POLITICO PRO PREMIUM SUBSCR...,2/7/2025,"$12,995.00"
DEPARTMENT OF HEALTH AND HUMAN SERVICES,OC HEALTH COMMUNICATIONS AN...,2/7/2025,"$1,561,758.00"
DEPARTMENT OF HEALTH AND HUMAN SERVICES,CLINICAL EVALUATION OF PHEN...,2/7/2025,$0.00
DEPARTMENT OF HEALTH AND HUMAN SERVICES,"24-004934 NIBIB, UNDER CONT...",2/7/2025,$0.00
DEPARTMENT OF HEALTH AND HUMAN SERVICES,GENETIC EPIDEMIOLOGY OF COP...,2/7/2025,$0.00
DEPARTMENT OF HEALTH AND HUMAN SERVICES,[24-009886] THE NHLBI OFFIC...,2/7/2025,$0.00
DEPARTMENT OF HEALTH AND HUMAN SERVICES,NIMHD DEPUTY DIRECTOR EXECU...,2/7/2025,$0.00
DEPARTMENT OF HEALTH AND HUMAN SERVICES,NIH NHLBI DIVISION OF EXTRA...,2/7/2025,$0.00
DEPARTMENT OF HEALTH AND HUMAN SERVICES,"JS TECHNOLOGY, INC:1172021 ...",2/7/2025,$0.00
DEPARTMENT OF HEALTH AND HUMAN SERVICES,25-002988 NIBIB UNDER CONTR...,2/7/2025,$0.00
DEPARTMENT OF HEALTH AND HUMAN SERVICES,CHEMICAL ANALYSIS INSTRUMENTS,2/7/2025,$0.00
DEPARTMENT OF HEALTH AND HUMAN SERVICES,DRY ICE,2/7/2025,$0.00
DEPARTMENT OF HEALTH AND HUMAN SERVICES,CHEMICALS,2/7/2025,$0.00
DEPARTMENT OF HEALTH AND HUMAN SERVICES,"ASTRIX SOFTWARE TECHNOLOGY,...",2/7/2025,$0.00
DEPARTMENT OF HEALTH AND HUMAN SERVICES,ADMINISTRATIVE ASSISTANT-VE...,2/7/2025,$0.00
DEPARTMENT OF HEALTH AND HUMAN SERVICES,POLITICO PRO SUBSCRIPTION,2/7/2025,$0.00
DEPARTMENT OF HEALTH AND HUMAN SERVICES,POLITICO PRO PLUS,2/7/2025,$0.00
DEPARTMENT OF HEALTH AND HUMAN SERVICES,CONTRACT HSN272201700036I; ...,2/10/2025,"$1,127,082.00"
DEPARTMENT OF HEALTH AND HUMAN SERVICES,TACTEGRA LLC:1363307 [23-00...,2/10/2025,$0.00
DEPARTMENT OF HEALTH AND HUMAN SERVICES,EA SUPPORT SERVICES,2/13/2025,"$364,184.00"
DEPARTMENT OF HEALTH AND HUMAN SERVICES,EXECUTIVE OFFICE CONSULTATION,2/13/2025,$0.00
DEPARTMENT OF HEALTH AND HUMAN SERVICES,OCOO IOD MANAGEMENT CONSULT...,2/13/2025,"$2,244,606.00"
DEPARTMENT OF HEALTH AND HUMAN SERVICES,OCOO DIGITIAL&WEB MEDIA MAN...,2/13/2025,$0.00
DEPARTMENT OF HEALTH AND HUMAN SERVICES,DATA VISUALIZATION CHALLENGE,2/13/2025,$0.00
DEPARTMENT OF HEALTH AND HUMAN SERVICES,ARM MEETINGS FOR FY 24-FY29,2/13/2025,"$80,000.00"
DEPARTMENT OF HEALTH AND HUMAN SERVICES,PUBLIC HEALTH INFRASTRUCTUR...,2/13/2025,"$78,291.00"
DEPARTMENT OF HEALTH AND HUMAN SERVICES,ADMINISTRATIVE SUPPORT AND ...,2/13/2025,"$5,000.00"
DEPARTMENT OF HEALTH AND HUMAN SERVICES,WORKER OUTREACH,2/13/2025,"$2,246,962.00"
DEPARTMENT OF HEALTH AND HUMAN SERVICES,GENERAL CLERK SERVICES,2/13/2025,"$45,466.00"
DEPARTMENT OF HEALTH AND HUMAN SERVICES,ADMINISTRATIVE SUPPORT SEER...,2/13/2025,$0.00
DEPARTMENT OF HEALTH AND HUMAN SERVICES,MONITORING OF THE TRIBAL IN...,2/13/2025,"$462,316.00"
DEPARTMENT OF HEALTH AND HUMAN SERVICES,ANALYTICAL ENHANCEMENT OF T...,2/13/2025,$0.00
DEPARTMENT OF HEALTH AND HUMAN SERVICES,QUALITATIVE ANALYSIS OF HA...,2/13/2025,$0.00
DEPARTMENT OF HEALTH AND HUMAN SERVICES,EVALUATE THE PERFORMANCE OF...,2/13/2025,$0.00
DEPARTMENT OF HEALTH AND HUMAN SERVICES,FFC MODELING,2/13/2025,$0.00
DEPARTMENT OF HEALTH AND HUMAN SERVICES,GRAPHIC SUPPORT SERVICE,2/13/2025,$0.00
DEPARTMENT OF HEALTH AND HUMAN SERVICES,STUDY OF CANCER INCIDENCE A...,2/13/2025,$0.00
DEPARTMENT OF HEALTH AND HUMAN SERVICES,MAINTENANCE OF THE CAREER F...,2/13/2025,$0.00
DEPARTMENT OF HEALTH AND HUMAN SERVICES,NATIONAL CENTER FOR IMMUNIZ...,2/13/2025,"$1,748,381.00"
DEPARTMENT OF HEALTH AND HUMAN SERVICES,GEN CLERK-HR SEPC-HR ASST S...,2/13/2025,"$1,748,194.00"
DEPARTMENT OF HEALTH AND HUMAN SERVICES,C-CURE 9000 AND HID PIVCLAS...,2/13/2025,"$47,475.00"
DEPARTMENT OF HEALTH AND HUMAN SERVICES,HRO GENERAL SERVICES,2/13/2025,"$415,668.00"
DEPARTMENT OF HEALTH AND HUMAN SERVICES,NATIONAL IMMUNIZATION SURVE...,2/13/2025,"$3,858,344.00"
DEPARTMENT OF HEALTH AND HUMAN SERVICES,NATIONAL IMMUNIZATION SURVE...,2/13/2025,$0.00
DEPARTMENT OF HEALTH AND HUMAN SERVICES,HRO GENERAL SERVICES,2/13/2025,$0.00
DEPARTMENT OF HEALTH AND HUMAN SERVICES,SUBSCRIPTION -AUTOMATE ORGA...,2/13/2025,"$1,832,737.00"
DEPARTMENT OF HEALTH AND HUMAN SERVICES,RESPIRATORY PROTECTIVE DEVI...,2/13/2025,$0.00
DEPARTMENT OF HEALTH AND HUMAN SERVICES,SUPPORT SERVICES,2/13/2025,$0.00
DEPARTMENT OF HEALTH AND HUMAN SERVICES,RESPIRATORY PROTECTIVE DEVI...,2/13/2025,$0.00
DEPARTMENT OF HEALTH AND HUMAN SERVICES,DEVELOP AN AGGRESSIVE STRAT...,2/13/2025,$0.00
DEPARTMENT OF HEALTH AND HUMAN SERVICES,OPPE STRATEGIC PROGRAM SERV...,2/13/2025,"$1,063,803.00"
DEPARTMENT OF HEALTH AND HUMAN SERVICES,PROGRAM MANAGEMENT OFFICE S...,2/13/2025,"$518,245.00"
DEPARTMENT OF HEALTH AND HUMAN SERVICES,EVALUATION SUPPORT FOR OHE,2/13/2025,$0.00
DEPARTMENT OF HEALTH AND HUMAN SERVICES,WRITER-EDITOR,2/13/2025,"$37,597.00"
DEPARTMENT OF HEALTH AND HUMAN SERVICES,PROFESSIONAL SUPPORT SERVIC...,2/13/2025,"$8,507,977.00"
DEPARTMENT OF HEALTH AND HUMAN SERVICES,HIV NHM&E SERVICE CENTER,2/13/2025,"$1,720,549.00"
DEPARTMENT OF HEALTH AND HUMAN SERVICES,TO CONDUCT EXIT INTERVIEWS ...,2/13/2025,"$46,395.00"
DEPARTMENT OF HEALTH AND HUMAN SERVICES,FINANCIAL SUPPORT,2/13/2025,"$931,833.00"
DEPARTMENT OF HEALTH AND HUMAN SERVICES,GID SCIENTIFIC WRITER-EDITO...,2/13/2025,"$370,198.00"
DEPARTMENT OF HEALTH AND HUMAN SERVICES,GLOBAL NONCOMMUNICABLE DISE...,2/13/2025,"$1,722,684.00"
DEPARTMENT OF HEALTH AND HUMAN SERVICES,INSTRUCTIONAL DESIGNER,2/13/2025,"$642,456.00"
DEPARTMENT OF HEALTH AND HUMAN SERVICES,SCIENTIFIC CONSULTING / RES...,2/13/2025,$0.00
DEPARTMENT OF HEALTH AND HUMAN SERVICES,SCIENTIFIC CONSULTING - PSY...,2/13/2025,$0.00
DEPARTMENT OF HEALTH AND HUMAN SERVICES,BEHAVIORAL RESEARCH ASSSITANT,2/13/2025,"$97,984.00"
DEPARTMENT OF HEALTH AND HUMAN SERVICES,SYNERGY - GIS ANALYST,2/13/2025,"$47,910.00"
DEPARTMENT OF HEALTH AND HUMAN SERVICES,SOFTWARE ANNUAL LICENSE 1 U...,2/13/2025,"$20,929.00"
DEPARTMENT OF HEALTH AND HUMAN SERVICES,METACORE/METADRUG LICENSES,2/13/2025,"$94,344.00"
DEPARTMENT OF HEALTH AND HUMAN SERVICES,AGGREGATED MOBILITY DATA,2/13/2025,$0.00
DEPARTMENT OF HEALTH AND HUMAN SERVICES,MICROSERVICE ARCHITECTURE I...,2/13/2025,$0.00
DEPARTMENT OF HEALTH AND HUMAN SERVICES,ADVANCING THE FUTURE OF WOR...,2/13/2025,$0.00
DEPARTMENT OF HEALTH AND HUMAN SERVICES,"REGULATORY AND CHEMISTRY, M...",2/13/2025,"$32,500.00"
DEPARTMENT OF HEALTH AND HUMAN SERVICES,CONSULTATION & PROFESSIONAL...,2/13/2025,"$14,557,050.00"
DEPARTMENT OF HEALTH AND HUMAN SERVICES,DITA SUPPORT SERVICES,2/13/2025,"$1,252,329.00"
DEPARTMENT OF HEALTH AND HUMAN SERVICES,UNDERSTANDING PROVIDER CONV...,2/13/2025,$0.00
DEPARTMENT OF HEALTH AND HUMAN SERVICES,NCIRD REORGANIZATION SUPPORT,2/13/2025,$0.00
DEPARTMENT OF HEALTH AND HUMAN SERVICES,NCIRD TRANSFORMATION MANAGE...,2/13/2025,$0.00
DEPARTMENT OF HEALTH AND HUMAN SERVICES,PDIB ORGANIZATIONAL EFFECTI...,2/13/2025,$0.00
DEPARTMENT OF HEALTH AND HUMAN SERVICES,FILE PLAN DEVELOPMENT FOR R...,2/13/2025,$0.00
DEPARTMENT OF HEALTH AND HUMAN SERVICES,DEVELOPMENT OF A LEAD-FREE ...,2/13/2025,"$1,000.00"
DEPARTMENT OF HEALTH AND HUMAN SERVICES,DISASTER RELATED RAPIDS NEE...,2/13/2025,$0.00
DEPARTMENT OF HEALTH AND HUMAN SERVICES,FEDERAL SUPPLY SCHEDULE CON...,2/13/2025,"$34,540,000.00"
DEPARTMENT OF HEALTH AND HUMAN SERVICES,CONTRACT FOR INTERNAL/BUSIN...,2/13/2025,"$514,437.00"
DEPARTMENT OF HEALTH AND HUMAN SERVICES,NCIPC PROGRAM SUPPORT,2/13/2025,"$462,509.00"
DEPARTMENT OF HEALTH AND HUMAN SERVICES,SHAREPOINT/APPLICATION DEVE...,2/13/2025,"$221,703.00"
DEPARTMENT OF HEALTH AND HUMAN SERVICES,HALTHIEST NIOSH WELL-BEING ...,2/13/2025,"$12,600.00"
DEPARTMENT OF HEALTH AND HUMAN SERVICES,CUSTOMER DISCOVERY INTERVIE...,2/13/2025,$0.00
DEPARTMENT OF HEALTH AND HUMAN SERVICES,COVID-19 CASE REPORTING,2/13/2025,"$188,983.00"
DEPARTMENT OF HEALTH AND HUMAN SERVICES,ADMINISTRATIVE SUPPORT SERV...,2/13/2025,$0.00
DEPARTMENT OF HEALTH AND HUMAN SERVICES,OMS WORKFORCE RELATIONS & C...,2/13/2025,"$1,001,662.00"
DEPARTMENT OF HEALTH AND HUMAN SERVICES,OCOO SBI COMMUNICATIONS SUP...,2/13/2025,"$475,984.00"
DEPARTMENT OF HEALTH AND HUMAN SERVICES,OA BUDGETARY SUPPORT,2/13/2025,"$1,708,999.00"
DEPARTMENT OF HEALTH AND HUMAN SERVICES,FINANCIAL MANAGEMENT AND BU...,2/13/2025,"$412,852.00"
DEPARTMENT OF HEALTH AND HUMAN SERVICES,FINANCIAL SUPPORT SERVICES,2/13/2025,"$1,062,465.00"
DEPARTMENT OF HEALTH AND HUMAN SERVICES,FINANCIAL MANAGEMENT AND PL...,2/13/2025,"$592,794.00"
DEPARTMENT OF HEALTH AND HUMAN SERVICES,GMS SUPPORT SERVICES,2/13/2025,"$6,189,209.00"
DEPARTMENT OF HEALTH AND HUMAN SERVICES,OGS MPA SUPPORT SERVICES,2/13/2025,"$3,536,264.00"
DEPARTMENT OF HEALTH AND HUMAN SERVICES,SOIL VAPOR INTRUSION TOOLBOX,2/13/2025,$0.00
DEPARTMENT OF HEALTH AND HUMAN SERVICES,MEDICAL MANAGEMENT GUIDES U...,2/13/2025,$0.00
DEPARTMENT OF HEALTH AND HUMAN SERVICES,ENVIRONMENTAL HEALTH AND LA...,2/13/2025,$0.00
DEPARTMENT OF HEALTH AND HUMAN SERVICES,HEALTH EFFECTS CHART WEBINARS,2/13/2025,"$22,614.00"
DEPARTMENT OF HEALTH AND HUMAN SERVICES,COMMERCIAL LAUNDROMAT SHOWE...,2/13/2025,$0.00
DEPARTMENT OF HEALTH AND HUMAN SERVICES,TOX DASHBOARD MAINTENANCE A...,2/13/2025,$0.00
DEPARTMENT OF HEALTH AND HUMAN SERVICES,"DIVERSITY, EQUITY, INCLUSIO...",2/13/2025,"$3,652,830.00"
DEPARTMENT OF HEALTH AND HUMAN SERVICES,DATA ANALYSIS AND REPORTING...,2/13/2025,"$600,005.00"
DEPARTMENT OF HEALTH AND HUMAN SERVICES,WRITER AND EDITOR SERVICES,2/13/2025,"$93,779.00"
DEPARTMENT OF HEALTH AND HUMAN SERVICES,TECH AND ADMIN SUPPORT,2/13/2025,"$1,896,418.00"
DEPARTMENT OF HEALTH AND HUMAN SERVICES,OHSO BUDGET SUPPORT SERVICES,2/13/2025,"$366,218.00"
DEPARTMENT OF HEALTH AND HUMAN SERVICES,OCC SAFETY MANAGER,2/13/2025,"$609,985.00"
DEPARTMENT OF HEALTH AND HUMAN SERVICES,OHSO ISO CERTIFICATION - PJR,2/13/2025,"$4,403.00"
DEPARTMENT OF HEALTH AND HUMAN SERVICES,IGF::OT::IGF FOR OTHER FUNC...,2/13/2025,$0.00
DEPARTMENT OF HEALTH AND HUMAN SERVICES,CCP-21AS AND CCP-UAS - CUST...,2/13/2025,"$25,306.00"
DEPARTMENT OF HOMELAND SECURITY,NEW GSA FSS ORDER WITH DHS/...,1/28/2025,"$1,747,269.00"
DEPARTMENT OF HOMELAND SECURITY,CP3 STRATEGIC COMMUNICATION...,1/28/2025,"$2,378,156.00"
DEPARTMENT OF HOMELAND SECURITY,PROGRAM AND TECHNICAL SUPPO...,1/28/2025,"$8,000,000.00"
DEPARTMENT OF HOMELAND SECURITY,EQUAL EMPLOYMENT OPPORTUNIT...,1/30/2025,"$2,960,000.00"
DEPARTMENT OF HOMELAND SECURITY,PROGRAM AND TECHNICAL SUPPO...,1/30/2025,$0.00
DEPARTMENT OF HOMELAND SECURITY,INTELLIGENCE AND CYBERSECUR...,1/30/2025,"$6,893,452.00"
DEPARTMENT OF HOMELAND SECURITY,"DIVERSITY, EQUITY, INCLUSIO...",1/30/2025,"$24,084.00"
DEPARTMENT OF HOMELAND SECURITY,THIS IS A BPA CALL AGAINST ...,2/3/2025,"$194,196.00"
DEPARTMENT OF HOMELAND SECURITY,"OCFO, PA&E EVALUATION SERVI...",2/3/2025,"$30,000,000.00"
DEPARTMENT OF HOMELAND SECURITY,"OCFO, PA&E EVALUATION SERVI...",2/3/2025,"$30,000,000.00"
DEPARTMENT OF HOMELAND SECURITY,"OCFO, PA&E EVALUATION SERVI...",2/3/2025,"$30,000,000.00"
DEPARTMENT OF HOMELAND SECURITY,PROGRAM ANALYSIS & EVALUATI...,2/3/2025,"$494,787.00"
DEPARTMENT OF HOMELAND SECURITY,"OCFO, PA&E EVALUATION SERVI...",2/3/2025,"$30,000,000.00"
